Measurement Name,7089-Yonatan 18.3.18_02 (Normal Range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of run,19/03/2018 00:00:00 (1521417600),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,86399 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyzer model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement mode,Autostore (Normal Range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start mode,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration (s),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 1,-20 dB,AC,,PCB 377B07 166403 1/2,0.00626676 (V)/(Pa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/3 Octave CH1 - 1/2""",0.315 Hz ÷ 2 kHz,,,Slow,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SLM CH1 - 1/2""",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CH1 - 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overload count,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underrange count,23806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker count,Alarm Yellow,Alarm Blue,Alarm Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,0.315,0.4,0.5,0.6300001,0.8,1,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,SUM(LIN),SUM(A)
s,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB
1,76.86897278,70.55297089,75.20219421,76.08973694,68.76610565,70.22161865,61.2643013,63.31660843,58.2048378,59.76670074,49.54801559,50.07648849,46.46457672,44.51772308,44.39368439,39.72501373,40.58033752,42.66895676,41.71629333,40.85777283,41.90069199,41.36916351,40.00614548,40.00307083,39.13227081,39.84052658,38.73894119,39.43278503,39.78471375,39.35713196,39.07947922,40.54998398,40.41449738,37.75463486,37.1515274,37.62042999,37.16376114,37.56067657,34.25408936,81.97068024,46.45017624
2,80.49869537,71.52867126,74.83496094,71.28644562,69.83599854,65.83901215,65.00242615,60.96744919,64.92572021,57.32735062,52.73986816,48.79270172,46.57147217,47.40741348,45.25231934,36.05451965,42.20566559,37.9576416,38.80373001,37.23204422,41.53192902,42.0721817,37.56274033,37.45257568,39.45114136,35.8782196,36.5725708,39.11880112,37.01950455,38.49478531,39.14870453,41.13529587,41.21842957,38.04505157,35.22330475,39.0043602,34.76726532,36.75802231,32.03125763,82.84170532,46.1042099
3,79.14761353,72.70155334,72.07672882,70.84454346,69.9391098,65.74610901,73.23002625,68.97828674,63.2642746,57.44931793,52.67259979,48.12288666,46.41296387,43.97126007,44.09117126,36.35234451,39.57510376,42.69949341,39.86362076,39.62008286,39.20851517,40.54410553,37.67834473,37.73331451,38.01411057,36.75190353,36.78831863,38.12838745,37.65503311,37.60440063,37.55672836,39.46325684,39.19503021,36.43375015,34.69924927,36.8037262,34.16818237,35.1756134,31.41231537,82.42593384,44.62446213
4,78.98351288,74.25161743,69.45743561,69.25376892,73.71030426,67.8398056,76.74071503,72.18547058,63.87484741,54.94148636,49.98177338,45.95111084,44.32196808,45.28993225,42.4565506,38.34053421,39.28307724,40.08734894,37.76515198,40.41027069,38.66730499,39.58217239,37.62721252,36.87343216,37.30597687,36.78052139,37.07854462,37.07120132,37.32621002,36.6680069,36.92442322,38.47843933,38.29620743,35.36510849,34.18566895,35.55148697,33.93706894,34.09902954,30.91079521,83.41304016,43.78144836
5,79.50331879,77.10195923,67.36116791,70.43778229,75.06368256,67.00131226,79.09108734,70.55002594,65.66594696,55.13626862,47.45567322,43.36027527,46.23762131,43.47932816,43.09346008,42.04244232,38.81641006,42.78803253,41.68869781,38.06629562,38.40448761,39.02576828,41.67262268,38.81851196,36.51945496,37.62614822,36.57071304,37.3042717,37.92156601,37.30711365,36.85591125,38.19281387,37.62519073,35.26996231,34.05224609,34.80567169,33.91323853,33.93668747,30.83685303,84.63772583,43.54158401
6,77.54443359,78.87771606,71.0776062,74.61472321,78.3407135,67.41687012,78.71369171,68.86016846,63.37802124,53.53736115,49.34333801,45.09227753,45.87864304,47.53885651,46.75252914,44.97150421,41.63444138,42.39468002,40.46317291,39.52859497,38.42602158,38.59667969,39.89693069,37.85998917,36.00838089,37.10927963,36.36363983,37.82080078,37.48925018,37.06811905,36.43801117,37.76119232,37.40877533,34.90006638,33.9973793,34.76964951,33.85084152,33.81135559,30.71434021,85.24331665,43.36076736
7,77.74021912,79.37703705,72.93709564,77.96446991,79.65156555,72.13540649,76.23213959,67.67405701,61.10354996,53.88526535,48.92612076,45.30409241,43.06510162,44.88300323,43.98144531,42.13108826,39.36412048,40.68933868,43.21073914,40.30641174,38.47085953,37.05714035,39.34775162,36.68639374,35.75161743,36.44823456,36.66641235,38.40988541,38.03548431,37.17087173,36.78034973,38.05500793,38.07113266,34.8310051,34.28449249,34.50569534,34.09452438,34.1183815,30.8351326,85.87360382,43.58010864
