8,76.27149963,80.01746368,74.30917358,79.31726074,80.15784454,74.81024933,72.34223175,67.12343597,61.06327438,51.07570648,45.12698364,42.92219543,41.29045105,41.4627037,41.07331085,41.36138916,37.67292786,40.58648682,41.70191956,40.22513962,39.46279907,37.66866684,38.68788528,37.26380157,36.96501923,36.49668884,37.17596054,38.5355072,38.48405457,37.51704788,36.71740723,38.88282394,38.29424667,35.50777054,35.36245728,35.72486115,35.31672668,35.38568878,32.13553619,86.16095734,44.47684479
9,73.8481369,81.06217194,75.21440125,79.03356171,80.20748138,75.89031982,71.29441071,67.54829407,58.01931381,48.49237823,48.09875488,46.85642624,41.61981201,40.98924255,40.77384567,38.9901619,41.30797577,41.0095787,40.95941544,39.99799728,40.4124794,38.10413361,37.75178528,36.25320053,37.37628937,36.82471085,37.97745132,39.54689407,39.5979538,38.63849258,37.52602768,39.71989059,38.93906784,36.4475441,36.09805298,37.26431656,36.67469406,36.94179916,33.65719604,86.32595825,45.64696884
10,71.45372772,81.36920929,73.70219421,77.92649841,78.8547287,75.62815857,72.11902618,65.35636139,56.04913712,46.04845047,47.23732758,46.90192413,41.03037262,40.55078888,39.26156616,43.86782837,40.82030869,39.33804321,40.14568329,38.96985626,40.63280106,38.56694794,37.45780182,36.7147522,37.54788971,38.00868607,37.2416687,39.6245575,39.18733978,38.44544983,37.66117096,39.63165665,39.20640564,36.93487549,36.21928787,37.21481705,36.85545349,37.02602005,33.70069885,85.68643188,45.74770355
11,67.29290771,81.50623322,72.9730072,75.99586487,77.74946594,73.34767914,69.89549255,61.7208519,54.82804108,43.93805695,45.59613037,47.64902496,41.81417084,44.97496796,38.18540192,41.46990967,42.56607819,38.79330444,39.60608673,40.06706238,40.28931046,39.79450989,38.89100647,36.62482834,36.77318954,37.39771271,37.2817688,38.42601395,38.9888382,38.14200592,37.28499603,39.16661835,39.06876373,36.48893738,35.62049484,36.09203339,36.05761719,36.16094589,33.06733322,84.76385498,45.09977341
12,64.0669632,81.98043823,71.21504211,72.86617279,77.89229584,69.51966095,67.4302597,58.25830078,51.89136505,48.47167206,47.47173691,44.44711304,42.84878159,43.17611313,40.95955276,41.40634918,42.12070847,37.83774948,40.94554138,37.72224808,38.89666367,38.78387833,38.00107956,36.63734055,36.63002396,37.13320541,37.8695488,38.60733414,38.98287582,38.30670166,37.01320648,39.55575943,38.98069763,36.29614258,35.63619995,36.21467972,36.10308456,36.28490829,32.9697876,84.3157959,45.14110947
13,68.65664673,82.03056335,69.56822968,69.10016632,77.63333893,70.43844604,67.24537659,57.61872864,49.94460678,54.60202026,50.49091721,45.44313431,46.94272614,40.87307358,40.6938324,41.18843842,39.91429138,40.63478851,42.58568192,40.1184845,39.58383179,37.71271515,39.31587601,36.16876984,37.02246094,37.98874664,38.15523529,38.94055176,38.72389984,38.90048599,37.47185516,40.00201797,39.87610245,36.98880768,36.49358368,36.92404938,36.73908234,36.83589554,33.57581711,84.14726257,45.78281784
14,70.33329773,80.84858704,74.37527466,66.07448578,79.19022369,72.42996979,67.85257721,61.77249908,47.25776672,57.43717957,51.32044983,41.77348328,45.03366852,42.32750702,41.80391312,42.75466537,39.78922653,38.61491776,40.36326599,41.36219788,40.11535645,40.18703461,41.26578522,38.55764008,36.95700836,38.07759857,38.78437805,39.92467499,39.5539856,38.63781738,37.72444153,39.95543671,39.68312454,37.18948746,36.5516777,36.99726868,36.39752197,36.91979218,33.78600311,84.3604126,45.8028717
15,72.36950684,79.14682007,74.49973297,67.04396057,79.39688873,73.44284058,69.83811188,63.52927399,54.12864304,58.36975861,52.39651108,46.37649918,43.42846298,40.20394135,41.79360962,43.4239006,39.20207596,37.95968628,39.57325363,40.59896851,40.85298538,41.0694809,40.59122467,38.41704559,38.00010681,37.60197067,38.94932938,39.74781799,39.49961853,39.08345032,38.39842224,40.86743164,40.3495369,37.17963791,36.67932129,37.16176224,36.67346573,36.80874252,33.8839798,84.06703949,46.06323242
16,74.71124268,77.96198273,78.49646759,69.37857819,79.81951141,74.16767883,72.82124329,61.63639069,61.73137283,57.48762512,50.12465668,47.87030792,43.35115814,43.31170654,43.86394882,41.93248749,40.78413391,42.85570526,41.64234161,39.96088028,38.56514359,39.81514359,38.68695068,37.47841644,38.18244553,37.26918793,38.08302307,40.10032654,38.81417084,38.66970825,38.10971069,40.41161346,39.62431335,36.80385208,36.60800552,36.63581848,36.3706131,36.27864456,33.3170166,85.00592041,45.62229919
17,73.44160461,76.06452179,80.1414566,71.57316589,80.01865387,74.20108032,73.46318817,65.88990784,62.26701736,54.4111557,46.25938416,46.92417145,44.68828583,40.69377518,41.99015808,40.66357422,40.76464844,41.08972549,40.68073654,41.33013916,40.01459503,38.67430878,38.9202652,37.1228714,36.85493088,37.16558075,37.82942581,39.26573944,38.39056396,38.48593903,37.60885239,39.62693405,39.28767395,36.45969009,36.16631317,36.49872589,35.71379089,35.88345337,32.3507576,85.25402832,45.14993668
18,75.14795685,72.48125458,80.12130737,74.01055145,81.40370178,73.24123383,73.30706024,67.07335663,58.73326874,52.04155731,43.78721619,43.97498322,44.33269119,41.37497711,43.67880249,42.90513611,42.84483337,40.84114075,39.88879013,39.78582001,39.28266525,38.16572952,38.43024445,36.74867249,35.49617004,36.84877396,37.58017731,38.41464233,38.63883209,37.80144119,36.79442978,39.00356674,39.24946594,36.06900024,35.53860855,35.76712036,35.3152771,35.23961639,31.92375183,85.62756348,44.65607071
19,75.08253479,72.16559601,82.26187897,74.48526001,80.72060394,72.93508911,70.91856384,64.53580475,55.96352386,50.01283646,41.21306992,40.38333893,45.67960358,41.71573257,42.06712341,41.69557571,41.9990387,40.73742294,38.85703278,38.66411591,39.28718185,36.61975479,38.50649261,36.54363251,36.40874481,36.64219284,36.55758667,38.53649902,38.01112747,37.60702896,36.65047073,38.12336349,38.69704819,35.53226089,34.74658203,35.06791687,34.49752045,34.25482178,31.32648659,86.00714111,43.96767044
20,73.71807098,74.65916443,80.91953278,74.12628937,81.5655899,72.89910126,67.85856628,60.65402222,54.81847382,48.32303619,44.56517792,42.50580597,44.2342453,40.68437195,39.36853027,40.35897827,40.14159775,40.24860001,38.85342789,38.63570404,38.15972137,38.12275314,37.16368484,36.08402252,35.83060837,35.82409668,36.66143036,38.02307892,37.39522934,36.94777679,35.86784363,37.43814468,37.90499115,35.02457047,34.22237396,34.13532639,33.58519745,33.41278839,30.48662949,85.71681976,43.21313477
